,Source_GaiaDR2,GroupID,GroupSize,Id_y
0,6124703319208401664,5,2,6124703319208401664
1,6756796512326012160,7,2,6756796512326012160
2,1760471948915107200,9,2,1760471948915107200
3,4003406537783052416,11,3,4003406537783052416
4,4003406537783052416,11,3,4003406537783052416
5,4008364338792386304,12,12,4008364338792386304
6,4008364338792386304,12,12,4008364338792386304
7,6095002623922974080,13,2,6095002623922974080
8,996120533623006976,16,2,996120533623006976
9,680661782802091392,24,2,680661782802091392
10,6164361608406379392,25,2,6164361608406379392
11,6249410860041044480,26,2,6249410860041044480
12,3644886925888351872,2218,2,3644886925888351872
13,3170300942420466176,2222,2,3170300942420466176
14,3203601851092155776,2223,2,3203601851092155776
15,370238447342099968,2224,2,370238447342099968
16,754858438055510912,2232,2,754858438055510912
17,229119364031026048,2238,2,229119364031026048
18,6044389805898446592,2247,2,6044389805898446592
19,1775233094379388928,2253,2,1775233094379388928
20,5317887321743547264,2257,12,5317887321743547264
21,5317887321743547264,2257,12,5317887321743547264
22,5317906155187202176,2257,12,5317906155187202176
23,4090973116992358912,2259,2,4090973116992358912
24,4110729867869655296,2268,2,4110729867869655296
25,5239626420542800512,2272,12,5239626420542800512
26,5241082315708039168,2272,12,5241082315708039168
27,494593525980109952,2277,2,494593525980109952
28,6156677357861290496,2279,2,6156677357861290496
29,6118958306533706880,2281,2,6118958306533706880
30,1899383114098895616,2286,2,1899383114098895616
31,1838971886521857024,2291,2,1838971886521857024
32,3495593381643456000,2294,2,3495593381643456000
33,951148377744097024,2296,2,951148377744097024
34,6466357423460577024,2299,2,6466357423460577024
35,6001918867183936640,2301,2,6001918867183936640
36,3636691509812474112,2302,2,3636691509812474112
37,3331054043531616256,2307,2,3331054043531616256
38,3399694316770173696,2308,2,3399694316770173696
39,684904248417417472,2309,2,684904248417417472
40,441405922299247616,2317,16,441405922299247616
41,441585726810505472,2317,16,441585726810505472
42,5397216986904779776,2320,2,5397216986904779776
43,5743882587845283328,2322,2,5743882587845283328
44,4627687524680510208,2328,2,4627687524680510208
45,2084849869352048128,2329,2,2084849869352048128
46,1864695205878349184,2338,2,1864695205878349184
47,441640221355365760,2339,6,441640221355365760
48,2285900483923557632,2348,2,2285900483923557632
49,4599117333509619328,2354,2,4599117333509619328
50,537921357924164864,2381,2,537921357924164864
51,5586793476102798208,2384,4,5586793476102798208
52,538088556706961024,2387,2,538088556706961024
53,1247832520843382784,2388,2,1247832520843382784
54,4781153642537450880,2391,2,4781153642537450880
55,2946664675380778240,2394,2,2946664675380778240
56,2182800549905118592,2419,2,2182800549905118592
57,5514747495652242048,2440,2,5514747495652242048
58,2213968646530758400,2445,2,2213968646530758400
59,4617721650069245952,2447,2,4617721650069245952
60,1409851434711792000,2472,2,1409851434711792000
61,1622560239801073920,2475,2,1622560239801073920
62,2292925465575621120,2480,2,2292925465575621120
