,Source_GaiaDR2,GroupID,GroupSize,Id_x
0,6172368591381937408,5,2,6172368591381937408
1,6756796546685748864,7,2,6756796546685748864
2,1760477618271932672,9,2,1760477618271932672
3,4009709385110617472,11,3,4009709385110617472
4,4008433608024885632,12,12,4008433608024885632
5,6095002662584749056,13,2,6095002662584749056
6,996121873652802304,16,2,996121873652802304
7,680662573076074752,24,2,680662573076074752
8,6164361608406379520,25,2,6164361608406379520
9,6249411203638655232,26,2,6249411203638655232
10,3644886925888352000,2218,2,3644886925888352000
11,3170394607068638336,2222,2,3170394607068638336
12,3203683695989446400,2223,2,3203683695989446400
13,370243090202595712,2224,2,370243090202595712
14,6088029937798924800,2226,2,6088029937798924800
15,6111042819247380864,2230,3,6111042819247380864
16,754858476710667136,2232,2,754858476710667136
17,64317998547641344,2235,2,64317998547641344
18,229120016866056064,2238,2,229120016866056064
19,6042164669240420864,2242,2,6042164669240420864
20,1775233094379389056,2253,2,1775233094379389056
21,5318229274167094656,2257,12,5318229274167094656
22,5317887321743547264,2257,12,5317887321743547264
23,5239626420542800512,2272,12,5239626420542800512
24,494593560339845632,2277,2,494593560339845632
25,6118958684490833664,2281,2,6118958684490833664
26,1899383114098895872,2286,2,1899383114098895872
27,1838971886521857280,2291,2,1838971886521857280
28,951148446463574016,2296,2,951148446463574016
29,6466357423460577152,2299,2,6466357423460577152
30,6001919142061847808,2301,2,6001919142061847808
31,3636714977513779584,2302,2,3636714977513779584
32,3331054455848452352,2307,2,3331054455848452352
33,3399697134268720512,2308,2,3399697134268720512
34,684907542656170880,2309,2,684907542656170880
35,441405922299247616,2317,16,441405922299247616
36,5397217021264519168,2320,2,5397217021264519168
37,4627687623464046208,2328,2,4627687623464046208
38,2085035274498066432,2329,2,2085035274498066432
39,1864696064871818496,2338,2,1864696064871818496
40,441640221355365760,2339,6,441640221355365760
41,2285900964959892736,2348,2,2285900964959892736
42,4599118119486450944,2354,2,4599118119486450944
43,5538642460302110592,2378,3,5538642460302110592
44,537921362220502016,2381,2,537921362220502016
45,5586745647345660672,2384,4,5586745647345660672
46,5585278928890699264,2384,4,5585278928890699264
47,538088762865390976,2387,2,538088762865390976
48,1247832520843382912,2388,2,1247832520843382912
49,4781154948207508480,2391,2,4781154948207508480
50,2182802233532409984,2419,2,2182802233532409984
51,5514747495652243328,2440,2,5514747495652243328
52,2213968676593503872,2445,2,2213968676593503872
53,1409851602214590592,2472,2,1409851602214590592
54,1622560239801588864,2475,2,1622560239801588864
55,2292925813468000640,2480,2,2292925813468000640
